currencyCode,tierMinimumUnits,retailPrice,unitPrice,armRegionName,location,effectiveStartDate,meterId,meterName,productId,skuId,productName,skuName,serviceName,serviceId,serviceFamily,unitOfMeasure,type,isPrimaryMeterRegion,armSkuName,effectiveEndDate,reservationTerm
USD,0.0,1.427,1.427,eastus,US East,2023-10-01T00:00:00Z,00a68873-afb5-565b-a40d-04a90df9f4be,E32-16ads v5 Low Priority,DZH318Z092R4,DZH318Z092R4/00BZ,Eadsv5 Series CloudServices,E32-16ads v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E32-16ads_v5,,
USD,0.0,0.0,0.0,eastus,US East,2024-07-01T00:00:00Z,00a8b071-6348-5196-8ca1-0997fa40dada,Standard_M128-64bs_v3 Spot,DZH318Z0FRG8,DZH318Z0FRG8/004Q,Virtual Machines Mbsv3 Medium Memory Series Windows,Standard_M128-64bs_v3 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_M128-64bs_v3,,
USD,0.0,0.23936,0.23936,eastus,US East,2024-08-01T00:00:00Z,00aea7bb-7ebd-5a4d-a78f-e3504f1a072e,D64pls v5 Spot,DZH318Z092S2,DZH318Z092S2/00FG,Virtual Machines Dplsv5 Series,Standard_D64pls_v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D64pls_v5,,
USD,0.0,4.435,4.435,eastus,US East,2021-11-01T00:00:00Z,00b0339d-955e-541e-aab7-1a3739d2c183,Esv4 Type1,DZH318Z0DB0Z,DZH318Z0DB0Z/0026,ESv4 Series Dedicated Host,Esv4 Type1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Esv4_Type1,,
USD,0.0,22845.0,22845.0,eastus,US East,2021-11-01T00:00:00Z,00b0339d-955e-541e-aab7-1a3739d2c183,Esv4 Type1,DZH318Z0DB0Z,DZH318Z0DB0Z/001T,ESv4 Series Dedicated Host,Esv4 Type1,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Reservation,True,Esv4_Type1,,1 Year
USD,0.0,0.08272,0.08272,eastus,US East,2024-08-01T00:00:00Z,00c8dc06-f1f0-5f8b-b150-7c1bd1158958,D8lds v5 Spot,DZH318Z08M99,DZH318Z08M99/00MV,Virtual Machines Dldsv5 Series Windows,D8lds v5 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_D8lds_v5,2024-08-31T23:59:00Z,
USD,0.0,1.655,1.655,eastus,US East,2024-07-01T00:00:00Z,00cb6bbb-8f13-5d4f-8683-08142336c73d,Standard_M48ds_1_v3 Spot,DZH318Z0K7CZ,DZH318Z0K7CZ/00SX,Virtual Machines Mdsv3 Medium Memory Series Linux,Standard_M48ds_1_v3 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_M48ds_1_v3,,
USD,0.0,0.54475,0.54475,eastus,US East,2024-08-01T00:00:00Z,00cc9790-5e22-525d-b39f-6fbc94751408,DC48asv6 Spot,DZH318Z0FG7F,DZH318Z0FG7F/0029,Virtual Machines DCasv6 series,DC48asv6 Spot,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_DC48as_v6,,
USD,0.0,13.222,13.222,eastus,US East,2022-01-01T00:00:00Z,00defbd6-43d9-5954-9bcc-e362665d39d8,E112iads v5,DZH318Z093WX,DZH318Z093WX/02V6,Virtual Machines Eadsv5 Series Windows,E112iads v5,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_E112iads_v5,,
USD,0.0,0.0933,0.0933,eastus,US East,2024-07-01T00:00:00Z,00f72ea7-5acc-565f-afd3-a6373bbb872d,NV4adsV710v5 Low Priority,DZH318Z0LM94,DZH318Z0LM94/001L,Virtual Machines NVadsV710v5 Series,NV4adsV710v5 Low Priority,Virtual Machines,DZH313Z7MMC8,Compute,1 Hour,Consumption,True,Standard_NV4ads_V710_v5,,
